id,l_33,l_70,l_101,l_4
doc002381,-1,-1,-1,-1
doc002384,-1,-1,-1,-1
doc002386,-1,-1,-1,-1
doc002387,-1,-1,1,-1
doc002389,-1,-1,-1,-1
doc002398,1,-1,-1,1
doc002399,-1,-1,-1,-1
doc002400,-1,-1,1,-1
doc002402,-1,-1,-1,-1
doc002403,-1,-1,-1,-1
doc002406,1,-1,-1,-1
doc002407,-1,-1,-1,-1
doc002408,-1,-1,1,-1
doc002409,-1,-1,-1,-1
doc002412,1,-1,-1,1
doc002413,-1,-1,-1,-1
doc002414,-1,-1,-1,-1
doc002415,-1,1,-1,-1
doc002416,-1,-1,-1,-1
doc002420,-1,1,-1,-1
doc002421,-1,-1,-1,-1
doc002422,-1,-1,-1,-1
doc002423,-1,-1,-1,-1
doc002424,-1,-1,-1,-1
doc002425,1,-1,-1,-1
doc002426,-1,-1,-1,-1
doc002427,1,-1,-1,-1
doc002428,-1,-1,-1,-1
doc002430,-1,-1,1,-1
doc002431,-1,-1,1,-1
doc002432,1,-1,-1,-1
doc002433,-1,-1,1,-1
doc002434,-1,-1,-1,-1
doc002435,-1,-1,-1,-1
doc002437,-1,-1,-1,-1
doc002438,-1,-1,-1,-1
doc002439,-1,-1,-1,-1
doc002440,-1,1,-1,-1
doc002442,-1,-1,-1,-1
doc002444,1,-1,-1,-1
doc002445,1,-1,-1,1
doc002446,1,-1,1,-1
doc002447,-1,1,-1,-1
doc002449,1,-1,-1,-1
doc002450,-1,-1,-1,-1
doc002451,1,-1,-1,-1
doc002453,-1,-1,-1,-1
doc002454,-1,-1,-1,-1
doc002455,1,-1,-1,-1
doc002457,-1,-1,-1,-1
doc002458,-1,-1,-1,-1
doc002459,1,1,-1,1
doc002461,-1,1,-1,-1
doc002462,-1,-1,-1,-1
doc002463,1,-1,-1,-1
doc002465,1,-1,-1,-1
doc002469,1,-1,-1,-1
doc002470,-1,1,-1,-1
doc002472,-1,-1,1,-1
doc002473,-1,1,-1,-1
doc002474,1,-1,-1,-1
doc002475,-1,-1,-1,-1
doc002478,-1,-1,-1,-1
doc002479,1,1,-1,-1
doc002480,1,-1,-1,-1
doc002481,-1,-1,-1,-1
doc002482,-1,1,-1,-1
doc002483,-1,-1,-1,-1
doc002484,-1,-1,1,-1
doc002485,-1,-1,-1,-1
doc002486,1,-1,-1,-1
doc002487,-1,-1,-1,-1
doc002489,-1,-1,-1,-1
doc002490,-1,-1,-1,-1
doc002491,1,1,-1,1
doc002492,-1,-1,-1,-1
doc002493,-1,-1,-1,-1
doc002494,1,-1,-1,-1
doc002495,1,-1,-1,-1
doc002496,-1,-1,-1,-1
doc002497,-1,-1,-1,-1
doc002498,-1,-1,1,-1
doc002499,-1,-1,-1,-1
doc002500,-1,-1,-1,-1
doc002501,-1,-1,1,-1
doc002502,-1,-1,-1,-1
doc002504,1,-1,-1,-1
doc002505,1,1,-1,-1
doc002506,-1,-1,-1,-1
doc002507,-1,-1,-1,-1
doc002508,1,1,-1,-1
doc002509,1,-1,-1,-1
doc002510,-1,-1,-1,-1
doc002511,1,-1,-1,-1
doc002512,-1,-1,-1,-1
doc002513,1,-1,-1,-1
doc002515,-1,-1,-1,-1
doc002516,1,-1,-1,-1
doc002518,-1,-1,-1,-1
doc002520,-1,-1,-1,-1
doc002521,-1,1,-1,-1
doc002522,-1,-1,-1,-1
doc002523,-1,-1,-1,-1
doc002525,1,-1,-1,-1
doc002526,1,-1,-1,-1
doc002527,1,-1,1,-1
doc002528,1,-1,-1,-1
doc002529,-1,-1,-1,-1
doc002531,-1,-1,-1,-1
doc002532,-1,-1,-1,-1
doc002533,-1,-1,-1,-1
doc002534,-1,-1,-1,-1
doc002535,-1,-1,-1,-1
doc002536,-1,-1,-1,-1
doc002537,1,1,-1,-1
doc002538,1,-1,-1,-1
doc002539,-1,-1,-1,-1
doc002540,1,1,-1,-1
doc002541,1,-1,-1,-1
doc002542,1,1,-1,-1
doc002543,1,-1,-1,-1
doc002544,-1,-1,-1,-1
doc002545,1,-1,-1,1
doc002546,1,-1,-1,-1
doc002547,1,-1,-1,-1
doc002548,-1,-1,-1,-1
doc002550,-1,-1,-1,-1
doc002551,1,-1,-1,-1
doc002552,-1,-1,-1,-1
doc002553,1,-1,-1,1
doc002554,-1,-1,-1,-1
doc002556,-1,-1,-1,-1
doc002557,1,-1,-1,-1
doc002558,-1,-1,-1,-1
doc002559,-1,-1,1,-1
doc002562,-1,-1,-1,-1
doc002563,-1,-1,-1,-1
doc002564,-1,-1,-1,-1
doc002565,1,-1,-1,1
doc002567,1,1,-1,-1
doc002568,-1,-1,-1,-1
doc002570,1,-1,-1,-1
doc002571,-1,-1,-1,-1
doc002572,-1,-1,1,-1
doc002573,1,-1,-1,-1
doc002574,-1,-1,-1,-1
doc002577,1,-1,-1,1
doc002578,1,-1,-1,1
doc002579,-1,-1,-1,-1
doc002580,1,-1,-1,1
doc002583,-1,-1,-1,-1
doc002584,1,-1,-1,1
doc002585,-1,1,-1,-1
doc002586,-1,-1,-1,-1
doc002587,1,-1,-1,-1
doc002588,1,-1,-1,1
doc002590,-1,-1,-1,-1
doc002593,1,-1,-1,1
doc002594,-1,-1,-1,-1
doc002596,-1,-1,-1,-1
doc002597,-1,1,-1,-1
doc002599,1,-1,-1,1
doc002601,-1,-1,-1,-1
doc002602,-1,-1,-1,-1
doc002603,-1,-1,-1,-1
doc002604,1,1,-1,-1
doc002605,1,1,-1,-1
doc002606,1,1,-1,-1
doc002607,1,1,-1,-1
doc002608,-1,-1,-1,-1
doc002609,1,-1,-1,1
doc002611,-1,-1,-1,-1
doc002612,-1,-1,-1,-1
doc002613,1,-1,-1,1
doc002614,1,-1,-1,-1
doc002615,-1,-1,-1,-1
doc002616,-1,1,-1,-1
doc002617,1,-1,-1,1
doc002618,1,-1,-1,1
doc002619,-1,-1,-1,-1
doc002620,-1,-1,-1,-1
doc002621,-1,-1,-1,-1
doc002622,-1,-1,-1,-1
doc002623,-1,-1,-1,-1
doc002624,1,-1,-1,1
doc002627,-1,-1,-1,-1
doc002629,-1,-1,-1,-1
doc002630,1,-1,-1,1
doc002631,-1,-1,-1,-1
doc002633,1,-1,-1,-1
doc002634,1,-1,-1,-1
doc002635,1,-1,-1,-1
doc002636,-1,1,-1,-1
doc002637,-1,1,-1,-1
doc002638,-1,1,-1,-1
doc002639,-1,1,-1,-1
doc002640,-1,1,-1,-1
doc002641,-1,1,-1,-1
doc002642,-1,1,-1,-1
doc002643,-1,1,-1,-1
doc002644,-1,1,-1,-1
doc002645,-1,1,-1,-1
doc002646,-1,1,-1,-1
doc002647,-1,1,-1,-1
doc002648,-1,1,-1,-1
doc002649,-1,1,-1,-1
doc002650,-1,1,-1,-1
doc002651,-1,1,-1,-1
doc002652,-1,1,-1,-1
doc002653,-1,1,-1,-1
doc002654,-1,1,-1,-1
doc002655,-1,1,-1,-1
doc002656,-1,1,-1,-1
doc002657,-1,1,-1,-1
doc002658,-1,1,-1,-1
doc002659,-1,1,-1,-1
doc002660,-1,1,-1,-1
doc002661,-1,1,-1,-1
doc002662,-1,1,-1,-1
doc002663,-1,1,-1,-1
doc002664,-1,1,-1,-1
doc002665,-1,1,-1,-1
doc002666,-1,1,-1,-1
doc002667,-1,1,-1,-1
doc002668,-1,1,-1,-1
doc002669,-1,1,-1,-1
doc002670,-1,1,-1,-1
doc002671,-1,1,-1,-1
doc002672,-1,1,-1,-1
doc002673,-1,1,-1,-1
doc002674,-1,1,-1,-1
doc002675,-1,1,-1,-1
doc002676,-1,1,-1,-1
doc002677,-1,1,-1,-1
doc002678,-1,1,-1,-1
doc002679,-1,-1,-1,-1
doc002680,-1,-1,-1,-1
doc002681,-1,1,-1,-1
doc002682,1,-1,1,-1
doc002683,1,-1,1,-1
doc002684,-1,-1,1,-1
doc002685,1,-1,-1,-1
doc002686,-1,1,-1,-1
doc002687,-1,-1,1,-1
doc002688,1,-1,-1,1
doc002689,1,-1,-1,1
doc002690,-1,-1,1,-1
doc002691,-1,-1,-1,-1
doc002692,-1,-1,1,-1
doc002693,-1,1,-1,-1
doc002694,-1,-1,1,-1
doc002695,-1,-1,1,-1
doc002696,-1,-1,1,-1
doc002697,-1,-1,1,-1
doc002698,-1,-1,1,-1
doc002699,-1,-1,1,-1
doc002700,-1,-1,-1,-1
doc002701,-1,-1,-1,-1
doc002702,-1,-1,-1,-1
doc002703,1,-1,-1,1
doc002704,1,-1,-1,-1
doc002705,1,-1,-1,1
doc002706,1,-1,-1,1
doc002707,1,-1,-1,-1
doc002708,1,1,-1,-1
doc002709,-1,-1,1,-1
doc002710,1,1,-1,-1
doc002711,1,1,-1,-1
doc002712,-1,-1,1,-1
doc002713,1,-1,-1,1
doc002714,-1,-1,1,-1
doc002715,1,-1,-1,1
doc002716,-1,1,-1,-1
doc002717,1,-1,-1,1
doc002718,1,-1,-1,1
doc002719,-1,-1,1,-1
doc002720,1,-1,-1,1
doc002721,1,-1,-1,1
doc002722,1,-1,-1,-1
doc002723,1,-1,-1,1
doc002724,1,-1,-1,-1
doc002725,-1,1,-1,-1
doc002726,1,-1,-1,-1
doc002727,-1,-1,1,-1
doc002728,-1,-1,1,-1
doc002729,1,-1,-1,-1
doc002730,1,-1,-1,-1
doc002731,1,1,-1,-1
doc002732,1,1,-1,-1
doc002733,-1,1,-1,-1
doc002734,1,1,-1,-1
doc002735,1,-1,-1,1
doc002736,1,-1,-1,1
doc002737,1,-1,-1,1
doc002738,-1,1,-1,-1
doc002739,-1,1,-1,-1
doc002740,-1,1,-1,-1
doc002741,-1,1,-1,-1
doc002742,-1,-1,1,-1
doc002743,-1,-1,1,-1
doc002744,-1,-1,1,-1
doc002745,1,-1,-1,1
doc002746,1,-1,-1,-1
doc002747,1,-1,-1,1
doc002748,1,-1,-1,-1
doc002749,1,-1,-1,1
doc002750,-1,-1,1,-1
doc002751,1,-1,-1,1
doc002752,-1,-1,1,-1
doc002753,-1,-1,1,-1
doc002754,1,-1,-1,1
doc002755,1,-1,-1,1
doc002756,-1,1,-1,-1
doc002757,-1,1,-1,-1
doc002758,1,-1,-1,1
doc002759,-1,1,-1,-1
doc002760,1,-1,-1,1
doc002761,1,-1,-1,1
doc002762,1,-1,-1,1
doc002763,1,-1,-1,1
doc002764,1,-1,-1,1
doc002765,1,-1,-1,1
doc002766,1,-1,-1,1
doc002767,1,-1,-1,1
doc002768,1,-1,-1,1
doc002769,1,-1,-1,1
doc002770,1,-1,-1,1
doc002771,1,-1,-1,1
doc002772,1,-1,-1,1
doc002773,1,-1,-1,-1
doc002774,1,-1,-1,1
doc002775,1,-1,-1,1
doc002776,1,-1,-1,-1
doc002777,1,-1,-1,-1
doc002778,1,-1,-1,-1
doc002779,1,-1,1,-1
doc002780,1,-1,-1,-1
doc002781,1,-1,-1,1
doc002782,-1,-1,1,-1
doc002783,-1,-1,-1,-1
doc002784,1,1,-1,-1
doc002785,-1,-1,1,-1
doc002786,1,1,-1,-1
doc002787,1,-1,-1,1
doc002788,1,-1,-1,1
doc002789,1,-1,-1,-1
doc002790,1,-1,-1,1
doc002791,1,-1,-1,1
doc002792,1,-1,-1,-1
doc002793,-1,-1,1,-1
doc002794,1,-1,-1,-1
doc002795,1,-1,-1,-1
doc002796,1,-1,-1,-1
doc002797,1,-1,-1,-1
doc002798,1,-1,-1,-1
doc002799,1,-1,-1,-1
doc002800,1,1,-1,-1
doc002801,1,-1,-1,1
doc002802,-1,1,-1,-1
doc002803,1,-1,-1,-1
doc002804,-1,-1,1,-1
doc002805,1,-1,-1,1
doc002806,1,-1,-1,-1
doc002807,1,-1,-1,1
doc002808,1,-1,-1,-1
doc002809,1,-1,-1,1
doc002810,1,-1,-1,-1
doc002811,1,-1,-1,-1
doc002812,1,-1,-1,1
doc002813,1,-1,-1,-1
doc002814,1,-1,-1,1
doc002815,1,-1,-1,-1
doc002816,1,-1,-1,-1
doc002817,1,-1,-1,1
doc002818,1,-1,-1,-1
doc002819,-1,-1,1,-1
doc002820,1,-1,-1,-1
doc002821,1,-1,-1,1
doc002822,1,-1,-1,-1
doc002823,1,-1,1,1
doc002824,1,-1,-1,-1
doc002825,-1,-1,1,-1
doc002826,1,-1,-1,1
doc002827,-1,-1,1,-1
doc002828,1,-1,-1,-1
doc002829,1,-1,-1,1
doc002830,1,-1,-1,-1
doc002831,1,-1,-1,1
doc002832,-1,-1,1,-1
doc002833,1,-1,-1,1
doc002834,1,-1,-1,1
doc002835,1,-1,-1,1
doc002836,1,-1,-1,-1
doc002837,1,-1,-1,-1
doc002838,-1,-1,1,-1
doc002839,-1,-1,1,-1
doc002840,-1,-1,1,-1
doc002841,1,-1,-1,1
doc002842,-1,-1,1,-1
doc002843,1,-1,-1,1
doc002844,1,-1,-1,1
doc002845,-1,-1,1,-1
doc002846,1,-1,-1,1
doc002847,-1,-1,1,-1
doc002848,1,-1,-1,-1
doc002849,1,-1,-1,1
doc002850,1,-1,-1,-1
doc002851,1,-1,-1,1
doc002852,1,-1,-1,1
doc002853,-1,-1,1,-1
doc002854,1,-1,-1,-1
doc002855,1,-1,-1,-1
doc002856,1,1,-1,-1
doc002857,-1,-1,1,-1
doc002858,1,-1,-1,-1
doc002859,-1,-1,1,-1
doc002860,1,-1,-1,1
doc002861,-1,-1,1,-1
doc002862,-1,-1,1,-1
doc002863,1,-1,-1,1
doc002864,-1,-1,1,-1
doc002865,1,-1,-1,1
doc002866,1,-1,-1,-1
doc002867,1,-1,1,-1
doc002868,1,-1,-1,-1
doc002869,-1,-1,1,-1
doc002870,-1,-1,1,-1
doc002871,1,-1,-1,1
doc002872,1,-1,-1,1
doc002873,1,-1,-1,-1
doc002874,1,-1,-1,1
doc002875,1,-1,-1,-1
doc002876,1,-1,-1,-1
doc002877,1,-1,-1,1
doc002878,1,-1,-1,1
doc002879,-1,-1,1,-1
doc002880,-1,-1,1,-1
doc002881,1,-1,-1,-1
doc002882,1,-1,-1,-1
doc002883,1,-1,-1,-1
doc002884,1,-1,-1,-1
doc002885,1,1,-1,-1
doc002886,-1,-1,1,-1
doc002887,1,-1,-1,-1
doc002888,1,-1,-1,1
doc002889,1,-1,-1,-1
doc002890,1,-1,-1,1
doc002891,1,-1,-1,1
doc002892,1,-1,-1,-1
doc002893,1,-1,1,1
doc002894,1,-1,-1,1
doc002895,1,-1,-1,1
doc002896,1,-1,-1,-1
doc002897,1,-1,-1,1
doc002898,1,1,-1,-1
doc002899,-1,-1,1,-1
doc002900,1,-1,-1,1
doc002901,-1,-1,1,-1
doc002902,1,-1,-1,1
doc002903,1,-1,-1,-1
doc002904,1,-1,-1,-1
doc002905,-1,-1,1,-1
doc002906,1,1,-1,-1
doc002907,-1,-1,1,-1
doc002908,1,-1,-1,-1
doc002909,1,-1,-1,-1
doc002910,-1,-1,1,-1
doc002911,1,1,-1,-1
doc002912,-1,-1,1,-1
doc002913,1,1,-1,-1
doc002914,1,-1,-1,1
doc002915,1,-1,-1,-1
doc002916,1,-1,-1,-1
doc002917,1,-1,-1,-1
doc002918,-1,-1,1,-1
doc002919,-1,-1,1,-1
doc002920,-1,-1,1,-1
doc002921,1,-1,-1,-1
doc002922,1,-1,-1,1
doc002923,-1,-1,1,-1
doc002924,1,-1,-1,-1
doc002925,1,1,-1,-1
doc002926,1,-1,-1,1
doc002927,1,-1,-1,-1
doc002928,-1,-1,-1,-1
doc002929,-1,-1,1,-1
doc002930,1,-1,-1,-1
doc002931,-1,-1,1,-1
doc002932,1,1,-1,-1
doc002933,1,-1,1,-1
doc002934,-1,-1,1,-1
doc002935,1,1,-1,-1
doc002936,-1,1,-1,-1
doc002937,1,-1,-1,-1
doc002938,1,-1,-1,-1
doc002939,1,-1,-1,1
doc002940,1,1,-1,-1
doc002941,1,-1,-1,1
doc002942,1,-1,-1,1
doc002943,1,-1,-1,1
doc002944,1,-1,-1,1
doc002945,-1,-1,1,-1
doc002946,1,-1,-1,1
doc002947,1,-1,-1,-1
doc002948,-1,-1,1,-1
doc002949,-1,1,-1,-1
doc002950,1,-1,-1,-1
doc002951,1,-1,-1,1
doc002952,1,-1,-1,1
doc002953,1,-1,-1,-1
doc002954,1,-1,-1,-1
doc002955,1,-1,-1,-1
doc002956,1,-1,-1,1
doc002957,1,-1,-1,-1
doc002958,1,-1,-1,-1
doc002959,1,-1,-1,1
doc002960,1,-1,-1,1
doc002961,1,-1,-1,-1
doc002962,1,-1,-1,-1
doc002963,1,1,-1,-1
doc002964,1,-1,-1,1
doc002965,1,-1,-1,-1
doc002966,1,-1,-1,-1
doc002967,1,-1,-1,-1
doc002968,1,-1,1,-1
doc002969,1,-1,-1,-1
doc002970,1,-1,-1,-1
doc002971,1,-1,-1,-1
doc002972,1,-1,-1,-1
doc002973,1,-1,-1,1
doc002974,1,-1,-1,1
doc002975,1,-1,-1,1
doc002976,1,-1,-1,1
doc002977,1,-1,-1,-1
doc002978,1,-1,-1,-1
doc002979,1,-1,-1,1
doc002980,1,-1,-1,1
doc002981,1,-1,-1,1
doc002982,1,-1,-1,1
doc002983,1,-1,-1,1
doc002984,1,-1,-1,1
doc002985,-1,1,-1,-1
doc002986,1,-1,-1,-1
doc002987,1,-1,-1,1
doc002988,1,-1,-1,-1
doc002989,1,-1,-1,-1
doc002990,-1,-1,1,-1
doc002991,1,-1,-1,1
doc002992,1,-1,-1,-1
doc002993,1,-1,-1,-1
doc002994,1,-1,-1,1
doc002995,-1,-1,1,-1
doc002996,1,-1,-1,-1
doc002997,1,-1,-1,-1
doc002998,1,-1,-1,-1
doc002999,1,-1,-1,1
doc003000,1,-1,-1,1
doc003001,1,-1,-1,1
doc003002,1,-1,-1,1
doc003003,1,-1,-1,-1
doc003004,1,-1,-1,1
doc003005,1,-1,-1,1
doc003006,1,-1,-1,-1
doc003007,1,-1,-1,1
doc003008,1,-1,-1,-1
doc003009,1,-1,-1,1
doc003010,1,-1,-1,1
doc003011,-1,-1,-1,-1
doc003012,1,-1,-1,1
doc003013,1,-1,-1,1
doc003014,1,-1,-1,1
doc003015,1,-1,-1,-1
doc003016,1,-1,-1,-1
doc003017,1,-1,-1,-1
doc003018,1,-1,-1,-1
doc003019,1,1,-1,-1
doc003020,1,-1,-1,1
doc003021,1,-1,-1,-1
doc003022,1,-1,-1,1
doc003023,1,-1,-1,1
doc003024,1,-1,-1,1
doc003025,1,-1,-1,1
doc003026,1,1,-1,-1
doc003027,1,-1,-1,-1
doc003028,1,-1,-1,-1
doc003029,1,-1,-1,-1
doc003030,1,-1,-1,1
doc003031,1,-1,-1,-1
doc003032,1,-1,-1,-1
doc003033,1,-1,-1,-1
doc003034,1,-1,-1,-1
doc003035,1,-1,-1,1
doc003036,1,-1,-1,-1
doc003037,1,-1,-1,-1
doc003038,1,-1,-1,1
doc003039,1,-1,-1,-1
doc003040,1,-1,-1,1
doc003041,1,-1,-1,-1
doc003042,1,1,-1,-1
doc003043,1,-1,-1,1
doc003044,1,-1,-1,1
doc003045,-1,1,-1,-1
doc003046,-1,-1,1,-1
doc003047,-1,-1,1,-1
doc003048,-1,-1,1,-1
doc003049,-1,-1,1,-1
doc003050,1,-1,-1,1
doc003051,1,-1,-1,1
doc003052,-1,1,-1,-1
doc003053,1,-1,-1,-1
doc003054,1,-1,-1,-1
doc003055,-1,1,-1,-1
doc003056,-1,1,-1,-1
doc003057,-1,-1,1,-1
doc003058,-1,1,-1,-1
doc003059,-1,-1,1,-1
doc003060,-1,-1,1,-1
doc003061,1,1,-1,-1
doc003062,1,1,-1,-1
doc003063,-1,-1,1,-1
doc003064,-1,-1,1,-1
doc003065,-1,-1,1,-1
doc003066,-1,-1,1,-1
doc003067,-1,-1,1,-1
doc003068,-1,1,-1,-1
doc003069,-1,-1,1,-1
doc003070,-1,-1,1,-1
doc003071,-1,-1,1,-1
doc003072,-1,-1,1,-1
doc003073,-1,-1,1,-1
doc003074,-1,-1,1,-1
doc003075,1,-1,-1,-1
doc003076,-1,-1,1,-1
doc003077,1,-1,-1,-1
doc003078,-1,-1,1,-1
doc003079,-1,1,-1,-1
doc003080,-1,-1,1,-1
doc003081,1,-1,-1,-1
doc003082,-1,-1,1,-1
doc003083,-1,1,-1,-1
doc003084,-1,-1,1,-1
doc003085,-1,-1,1,-1
doc003086,-1,-1,1,-1
doc003087,-1,-1,1,-1
doc003088,1,-1,-1,-1
doc003089,1,-1,-1,-1
doc003090,1,-1,-1,-1
doc003091,-1,1,-1,-1
doc003092,-1,1,-1,-1
doc003093,1,1,-1,-1
doc003094,-1,1,-1,-1
doc003095,-1,1,-1,-1
doc003096,1,-1,1,-1
doc003097,-1,-1,1,-1
doc003098,-1,-1,1,-1
doc003099,-1,-1,1,-1
doc003100,-1,-1,1,-1
doc003101,-1,-1,1,-1
doc003102,-1,1,-1,-1
doc003103,-1,-1,1,-1
doc003104,-1,-1,1,-1
doc003105,1,-1,1,-1
doc003106,-1,1,-1,-1
doc003107,1,1,-1,-1
doc003108,-1,1,-1,-1
doc003109,-1,-1,-1,-1
doc003110,-1,1,-1,-1
doc003111,-1,1,-1,-1
doc003112,-1,1,-1,-1
doc003113,-1,1,-1,-1
doc003114,-1,1,-1,-1
doc003115,-1,1,-1,-1
doc003116,-1,1,-1,-1
doc003117,-1,1,-1,-1
doc003118,-1,1,-1,-1
doc003119,1,-1,-1,-1
doc003120,-1,1,-1,-1
doc003121,-1,1,-1,-1
doc003122,-1,1,-1,-1
doc003123,1,-1,-1,-1
doc003124,1,-1,-1,1
doc003125,1,-1,-1,-1
doc003126,-1,1,-1,-1
doc003127,1,-1,-1,1
doc003128,-1,1,-1,-1
doc003129,-1,1,-1,-1
doc003130,-1,1,-1,-1
doc003131,-1,-1,1,-1
doc003132,-1,-1,1,-1
doc003133,-1,-1,-1,-1
doc003134,-1,-1,-1,-1
doc003135,-1,1,-1,-1
doc003136,-1,-1,1,-1
doc003137,1,-1,-1,1
doc003138,1,-1,-1,1
doc003139,-1,-1,-1,-1
doc003140,1,1,-1,-1
doc003141,-1,1,-1,-1
doc003142,-1,1,-1,-1
doc003143,1,-1,1,-1
doc003144,-1,1,-1,-1
doc003145,-1,1,-1,-1
doc003146,1,-1,-1,1
doc003147,1,-1,-1,1
doc003148,-1,1,-1,-1
doc003149,1,1,-1,-1
doc003150,-1,1,-1,-1
doc003151,1,-1,-1,-1
doc003152,-1,-1,1,-1
doc003153,-1,-1,-1,-1
doc003154,1,-1,-1,-1
doc003155,-1,-1,-1,-1
doc003156,1,1,-1,-1
doc003157,1,-1,-1,-1
doc003158,-1,1,-1,-1
doc003159,1,-1,-1,-1
doc003160,1,1,-1,-1
doc003161,-1,-1,1,-1
doc003162,-1,1,-1,-1
doc003163,1,-1,-1,-1
doc003164,-1,1,-1,-1
doc003165,-1,1,-1,-1
doc003166,-1,1,-1,-1
doc003167,-1,-1,1,-1
doc003168,1,-1,-1,-1
doc003169,-1,1,-1,-1
doc003170,1,-1,-1,1
doc003171,-1,1,-1,-1
doc003172,1,1,-1,-1
doc003173,-1,1,-1,-1
doc003174,-1,-1,-1,-1
doc003175,-1,1,-1,-1
doc003176,-1,1,-1,-1
doc003177,1,-1,-1,1
doc003178,1,-1,1,-1
doc003179,1,-1,-1,1
doc003180,1,-1,-1,-1
doc003181,-1,-1,1,-1
doc003182,-1,1,-1,-1
doc003183,-1,1,-1,-1
doc003184,-1,1,-1,-1
doc003185,-1,1,-1,-1
doc003186,-1,1,-1,-1
doc003187,-1,1,-1,-1
doc003188,-1,1,-1,-1
doc003189,-1,-1,1,-1
doc003190,-1,1,-1,-1
doc003191,-1,1,-1,-1
doc003192,-1,1,-1,-1
doc003193,-1,1,-1,-1
doc003194,-1,1,-1,-1
doc003195,-1,1,-1,-1
doc003196,-1,1,-1,-1
doc003197,-1,1,-1,-1
doc003198,-1,1,-1,-1
doc003199,-1,1,-1,-1
doc003200,-1,1,-1,-1
doc003201,-1,1,-1,-1
doc003202,-1,1,-1,-1
doc003203,-1,1,-1,-1
doc003204,-1,1,-1,-1
doc003205,-1,1,-1,-1
doc003206,-1,-1,1,-1
doc003207,-1,1,-1,-1
doc003208,1,-1,-1,-1
doc003209,1,-1,-1,-1
doc003210,1,-1,-1,-1
doc003211,1,-1,1,-1
doc003212,-1,-1,1,-1
doc003213,1,-1,-1,-1
doc003214,1,-1,1,-1
doc003215,1,-1,-1,-1
doc003216,1,1,-1,-1
doc003217,1,-1,-1,-1
doc003218,-1,-1,-1,-1
doc003219,-1,1,-1,-1
doc003220,1,-1,-1,1
doc003221,-1,1,-1,-1
doc003222,-1,1,-1,-1
doc003223,1,-1,1,-1
doc003224,1,-1,1,-1
doc003225,-1,1,-1,-1
doc003226,1,-1,-1,-1
doc003227,-1,-1,-1,-1
doc003228,-1,-1,1,-1
doc003229,-1,-1,1,-1
doc003230,-1,-1,1,-1
doc003231,-1,-1,1,-1
doc003232,-1,1,-1,-1
doc003233,-1,-1,1,-1
doc003234,1,-1,-1,1
doc003235,-1,-1,1,-1
doc003236,-1,-1,1,-1
doc003237,-1,-1,1,-1
doc003238,-1,-1,1,-1
doc003239,-1,-1,1,-1
doc003240,-1,-1,1,-1
doc003241,-1,-1,1,-1
